0,24982,24990,24990
1,24985,24985,24990
2,24972,24974,24990
3,24894,24926,24990
4,24930,24940,24990
5,24990,24990,24990
6,24998,24998,24998
7,24980,24980,24998
8,24898,24960,24998
9,24938,24945,24998
10,24983,24985,24998
11,24992,24992,24998
12,24918,24926,24998
13,24848,24924,24998
14,24994,24994,24998
15,24937,24950,24998
16,24957,24957,24998
17,24918,24918,24998
18,24935,24972,24998
19,24935,24962,24998
20,24938,24938,24998
21,24946,24976,24998
22,24934,24995,24998
23,24935,24941,24998
24,24979,24986,24998
25,24932,24947,24998
26,24937,24956,24998
27,24937,24937,24998
28,24862,24913,24998
29,24951,24972,24998
30,24920,24920,24998
31,24920,24929,24998
32,24973,24987,24998
33,24990,24990,24998
34,24907,24948,24998
35,24995,24998,24998
36,24934,24945,24998
37,24959,24959,24998
38,24982,24982,24998
39,24954,24969,24998
40,24957,24957,24998
41,24956,24956,24998
42,24992,24992,24998
43,24949,24949,24998
44,24965,24965,24998
45,24975,24982,24998
46,24989,24989,24998
47,24986,24986,24998
48,24964,24967,24998
49,24987,24987,24998
50,24925,24930,24998
51,24959,24969,24998
52,24947,24962,24998
53,24966,24966,24998
54,24913,24913,24998
55,24970,24970,24998
56,24978,24978,24998
57,24933,24945,24998
58,24963,24966,24998
59,24985,24986,24998
60,24959,24962,24998
61,24933,24942,24998
62,24935,24945,24998
63,24946,24973,24998
64,24970,24970,24998
65,24980,24984,24998
66,24953,24953,24998
67,24901,24920,24998
68,24913,24949,24998
69,24978,24978,24998
70,24891,24914,24998
71,24983,24993,24998
72,24945,24945,24998
73,24910,24917,24998
74,24905,24912,24998
75,24975,24975,24998
76,24886,24900,24998
77,24928,24928,24998
78,24930,24930,24998
79,24973,24973,24998
80,24957,24957,24998
81,24980,24988,24998
82,24977,24977,24998
83,24943,24948,24998
84,24940,24959,24998
85,24988,24988,24998
86,24926,24926,24998
87,24981,24981,24998
88,24983,24983,24998
89,24973,24973,24998
90,24866,24910,24998
91,24924,24938,24998
92,24979,24979,24998
93,24910,24932,24998
94,24972,24972,24998
95,24963,24970,24998
96,24907,24907,24998
97,24995,24995,24998
98,24966,24966,24998
99,24912,24947,24998
