4,3
6,12
11,24
43,28
20,9
39,7
39,2
38,22
11,14
41,13
47,28
33,12
35,30
29,17
18,29
3,28
2,12
30,30
21,30
25,14
34,6
36,6
16,8
2,6
21,6
9,17
33,12
33,22
36,6
29,26
27,24
34,30
49,12
38,12
24,28
29,6
49,13
46,24
30,21
34,8
32,9
32,17
33,27
23,22
30,29
30,12
37,24
36,24
30,16
43,8
21,27
45,27
11,29
40,9
50,30
31,10
20,26
46,27
33,18
34,17
42,20
38,14
20,24
14,16
33,12
44,20
5,26
22,24
1,30
13,24
7,2
37,21
4,9
38,8
44,29
7,25
34,5
18,8
14,29
4,14
46,25
3,2
24,12
12,8
44,1
6,4
5,1
3,24
2,12
17,5
11,24
12,17
45,1
25,19
3,26
16,5
3,1
23,20
41,24
48,4
