Instância,Com conflitos,Conflitos,Ordem,Executou,Anúncios,Quadros,Tamanho quadro,Espaço ocupado,Métrica,Tempo,Melhor iteração,Solução,Iterações
instancias/basico/,N,0,1
instancias/basico/,S,30,1
instancias/Multiconflito/multiconflito_10/,N,0,1
instancias/Multiconflito/multiconflito_10/,S,10,1
instancias/Multiconflito/multiconflito_30/,S,30,1
instancias/Multiconflito/multiconflito_50/,S,50,1
instancias/Multiconflito/multiconflito_70/,S,70,1
instancias/Aleatorio/aleatorio_pequeno_00/,N,0,1
instancias/Aleatorio/aleatorio_pequeno_00/,S,30,1
instancias/Aleatorio/aleatorio_pequeno_01/,N,0,1
instancias/Aleatorio/aleatorio_pequeno_01/,S,30,1
instancias/Aleatorio/aleatorio_pequeno_02/,N,0,1
instancias/Aleatorio/aleatorio_pequeno_02/,S,30,1
instancias/Aleatorio/aleatorio_pequeno_03/,N,0,1
instancias/Aleatorio/aleatorio_pequeno_03/,S,30,1
instancias/Aleatorio/aleatorio_pequeno_04/,N,0,1
instancias/Aleatorio/aleatorio_pequeno_04/,S,30,1
instancias/Aleatorio/aleatorio_medio_00/,N,0,1
instancias/Aleatorio/aleatorio_medio_00/,S,30,1
instancias/Aleatorio/aleatorio_medio_01/,N,0,1
instancias/Aleatorio/aleatorio_medio_01/,S,30,1
instancias/Aleatorio/aleatorio_medio_02/,N,0,1
instancias/Aleatorio/aleatorio_medio_02/,S,30,1
instancias/Aleatorio/aleatorio_medio_03/,N,0,1
instancias/Aleatorio/aleatorio_medio_03/,S,30,1
instancias/Aleatorio/aleatorio_medio_04/,N,0,1
instancias/Aleatorio/aleatorio_medio_04/,S,30,1
instancias/Aleatorio/aleatorio_grande_00/,N,0,1
instancias/Aleatorio/aleatorio_grande_00/,S,30,1
instancias/Aleatorio/aleatorio_grande_01/,N,0,1
instancias/Aleatorio/aleatorio_grande_01/,S,30,1
instancias/Aleatorio/aleatorio_grande_02/,N,0,1
instancias/Aleatorio/aleatorio_grande_02/,S,30,1
instancias/Aleatorio/aleatorio_grande_03/,N,0,1
instancias/Aleatorio/aleatorio_grande_03/,S,30,1
instancias/Aleatorio/aleatorio_grande_04/,N,0,1
instancias/Aleatorio/aleatorio_grande_04/,S,30,1
instancias/Aleatorio/aleatorio_gigante_00/,N,0,1
instancias/Aleatorio/aleatorio_gigante_00/,S,30,1
instancias/Aleatorio/aleatorio_gigante_01/,N,0,1
instancias/Aleatorio/aleatorio_gigante_01/,S,30,1
instancias/Aleatorio/aleatorio_gigante_02/,N,0,1
instancias/Aleatorio/aleatorio_gigante_02/,S,30,1
instancias/Aleatorio/aleatorio_gigante_03/,N,0,1
instancias/Aleatorio/aleatorio_gigante_03/,S,30,1
instancias/Aleatorio/aleatorio_gigante_04/,N,0,1
instancias/Aleatorio/aleatorio_gigante_04/,S,30,1
instancias/Falkenauer_T/falkenauer_t60_00/,N,0,1
instancias/Falkenauer_T/falkenauer_t60_00/,S,30,1
instancias/Falkenauer_T/falkenauer_t60_01/,N,0,1
instancias/Falkenauer_T/falkenauer_t60_01/,S,30,1
instancias/Falkenauer_T/falkenauer_t60_02/,N,0,1
instancias/Falkenauer_T/falkenauer_t60_02/,S,30,1
instancias/Falkenauer_T/falkenauer_t60_03/,N,0,1
instancias/Falkenauer_T/falkenauer_t60_03/,S,30,1
instancias/Falkenauer_T/falkenauer_t60_04/,N,0,1
instancias/Falkenauer_T/falkenauer_t60_04/,S,30,1
instancias/Falkenauer_T/falkenauer_t120_00/,N,0,1
instancias/Falkenauer_T/falkenauer_t120_00/,S,30,1
instancias/Falkenauer_T/falkenauer_t120_01/,N,0,1
instancias/Falkenauer_T/falkenauer_t120_01/,S,30,1
instancias/Falkenauer_T/falkenauer_t120_02/,N,0,1
instancias/Falkenauer_T/falkenauer_t120_02/,S,30,1
instancias/Falkenauer_T/falkenauer_t120_03/,N,0,1
instancias/Falkenauer_T/falkenauer_t120_03/,S,30,1
instancias/Falkenauer_T/falkenauer_t120_04/,N,0,1
instancias/Falkenauer_T/falkenauer_t120_04/,S,30,1
instancias/Falkenauer_T/falkenauer_t249_00/,N,0,1
instancias/Falkenauer_T/falkenauer_t249_00/,S,30,1
instancias/Falkenauer_T/falkenauer_t249_01/,N,0,1
instancias/Falkenauer_T/falkenauer_t249_01/,S,30,1
instancias/Falkenauer_T/falkenauer_t249_02/,N,0,1
instancias/Falkenauer_T/falkenauer_t249_02/,S,30,1
instancias/Falkenauer_T/falkenauer_t249_03/,N,0,1
instancias/Falkenauer_T/falkenauer_t249_03/,S,30,1
instancias/Falkenauer_T/falkenauer_t249_04/,N,0,1
instancias/Falkenauer_T/falkenauer_t249_04/,S,30,1
instancias/Falkenauer_T/falkenauer_t501_00/,N,0,1
instancias/Falkenauer_T/falkenauer_t501_00/,S,30,1
instancias/Falkenauer_T/falkenauer_t501_01/,N,0,1
instancias/Falkenauer_T/falkenauer_t501_01/,S,30,1
instancias/Falkenauer_T/falkenauer_t501_02/,N,0,1
instancias/Falkenauer_T/falkenauer_t501_02/,S,30,1
instancias/Falkenauer_T/falkenauer_t501_03/,N,0,1
instancias/Falkenauer_T/falkenauer_t501_03/,S,30,1
instancias/Falkenauer_T/falkenauer_t501_04/,N,0,1
instancias/Falkenauer_T/falkenauer_t501_04/,S,30,1
instancias/Falkenauer_U/falkenauer_u120_00/,N,0,1
instancias/Falkenauer_U/falkenauer_u120_00/,S,30,1
instancias/Falkenauer_U/falkenauer_u120_01/,N,0,1
instancias/Falkenauer_U/falkenauer_u120_01/,S,30,1
instancias/Falkenauer_U/falkenauer_u120_02/,N,0,1
instancias/Falkenauer_U/falkenauer_u120_02/,S,30,1
instancias/Falkenauer_U/falkenauer_u120_03/,N,0,1
instancias/Falkenauer_U/falkenauer_u120_03/,S,30,1
instancias/Falkenauer_U/falkenauer_u120_04/,N,0,1
instancias/Falkenauer_U/falkenauer_u120_04/,S,30,1
instancias/Falkenauer_U/falkenauer_u250_00/,N,0,1
instancias/Falkenauer_U/falkenauer_u250_00/,S,30,1
instancias/Falkenauer_U/falkenauer_u250_01/,N,0,1
instancias/Falkenauer_U/falkenauer_u250_01/,S,30,1
instancias/Falkenauer_U/falkenauer_u250_02/,N,0,1
instancias/Falkenauer_U/falkenauer_u250_02/,S,30,1
instancias/Falkenauer_U/falkenauer_u250_03/,N,0,1
instancias/Falkenauer_U/falkenauer_u250_03/,S,30,1
instancias/Falkenauer_U/falkenauer_u250_04/,N,0,1
instancias/Falkenauer_U/falkenauer_u250_04/,S,30,1
instancias/Falkenauer_U/falkenauer_u500_00/,N,0,1
instancias/Falkenauer_U/falkenauer_u500_00/,S,30,1
instancias/Falkenauer_U/falkenauer_u500_01/,N,0,1
instancias/Falkenauer_U/falkenauer_u500_01/,S,30,1
instancias/Falkenauer_U/falkenauer_u500_02/,N,0,1
instancias/Falkenauer_U/falkenauer_u500_02/,S,30,1
instancias/Falkenauer_U/falkenauer_u500_03/,N,0,1
instancias/Falkenauer_U/falkenauer_u500_03/,S,30,1
instancias/Falkenauer_U/falkenauer_u500_04/,N,0,1
instancias/Falkenauer_U/falkenauer_u500_04/,S,30,1
instancias/Falkenauer_U/falkenauer_u1000_00/,N,0,1
instancias/Falkenauer_U/falkenauer_u1000_00/,S,30,1
instancias/Falkenauer_U/falkenauer_u1000_01/,N,0,1
instancias/Falkenauer_U/falkenauer_u1000_01/,S,30,1
instancias/Falkenauer_U/falkenauer_u1000_02/,N,0,1
instancias/Falkenauer_U/falkenauer_u1000_02/,S,30,1
instancias/Falkenauer_U/falkenauer_u1000_03/,N,0,1
instancias/Falkenauer_U/falkenauer_u1000_03/,S,30,1
instancias/Falkenauer_U/falkenauer_u1000_04/,N,0,1
instancias/Falkenauer_U/falkenauer_u1000_04/,S,30,1
